date,open,high,low,close,volume
20220104T,84744,-62262,-22482,0,0
20220111T,108392,-87525,-20867,0,0
20220118T,99740,-80879,-18861,0,0
20220125T,82863,-68273,-14590,0,0
20220201T,79353,-60640,-18713,0,0
20220208T,75957,-59148,-16809,0,0
20220215T,86256,-66162,-20094,0,0
20220222T,82480,-63187,-19293,0,0
20220301T,79535,-68732,-10803,0,0
20220308T,76657,-55856,-20801,0,0
20220315T,87597,-62340,-25257,0,0
20220322T,104790,-78482,-26308,0,0
20220329T,124850,-102131,-22719,0,0
20220405T,125224,-103829,-21395,0,0
20220412T,131902,-111827,-20075,0,0
20220419T,129842,-107187,-22655,0,0
20220426T,114921,-95535,-19386,0,0
20220503T,120264,-100794,-19470,0,0
20220510T,124927,-110454,-14473,0,0
20220517T,115062,-102309,-12753,0,0
20220524T,106699,-99444,-7255,0,0
20220531T,105049,-94439,-10610,0,0
20220607T,109109,-91646,-17463,0,0
20220614T,86443,-69755,-16688,0,0
20220621T,74349,-58454,-15895,0,0
20220628T,67895,-52570,-15325,0,0
20220705T,64063,-54445,-9618,0,0
20220712T,75067,-59998,-15069,0,0
20220719T,73082,-59225,-13857,0,0
20220726T,73773,-61481,-12292,0,0
20220802T,50254,-42753,-7501,0,0
20220809T,36994,-25032,-11962,0,0
20220816T,41979,-28891,-13088,0,0
20220823T,52464,-38807,-13657,0,0
20220830T,61287,-41531,-19756,0,0
20220906T,77669,-58189,-19480,0,0
20220913T,98299,-80692,-17607,0,0
20220920T,97513,-81280,-16233,0,0
20220927T,100633,-82556,-18077,0,0
20221004T,93324,-81623,-11701,0,0
20221011T,94449,-77393,-17056,0,0
20221018T,110841,-94336,-16505,0,0
20221025T,118082,-102618,-15464,0,0
20221101T,95774,-77620,-18154,0,0
20221108T,88980,-75258,-13722,0,0
20221115T,77213,-65842,-11371,0,0
20221122T,78106,-64850,-13256,0,0
20221129T,82669,-67394,-15275,0,0
20221206T,75202,-65996,-9206,0,0
20221213T,59029,-53188,-5841,0,0
20221220T,45723,-40881,-4842,0,0
20221227T,46001,-37730,-8271,0,0
20230103T,46773,-46864,91,0,0
20230110T,34488,-35377,889,0,0
20230117T,18084,-22961,4877,0,0
20230124T,17145,-21635,4490,0,0
20230131T,18179,-20060,1881,0,0
20230207T,33346,-29089,-4257,0,0
20230214T,35769,-27843,-7926,0,0
20230221T,46889,-34029,-12860,0,0
20230228T,70521,-58678,-11843,0,0
20230307T,89603,-75303,-14300,0,0
20230314T,85994,-74794,-11200,0,0
20230321T,72484,-66345,-6139,0,0
20230328T,57562,-53975,-3587,0,0
20230404T,52266,-57036,4770,0,0
20230411T,56349,-57207,858,0,0
20230418T,61645,-56869,-4776,0,0
20230425T,72625,-68744,-3881,0,0
20230502T,77521,-68324,-9197,0,0
20230509T,69162,-61015,-8147,0,0
20230516T,76137,-64791,-11346,0,0
20230523T,92378,-80660,-11718,0,0
20230530T,106512,-96193,-10319,0,0
20230606T,113736,-104817,-8919,0,0
20230613T,118181,-103976,-14205,0,0
20230620T,118272,-107656,-10616,0,0
20230627T,122366,-112870,-9496,0,0
20230703T,126010,-117920,-8090,0,0
20230711T,129077,-117182,-11895,0,0
20230718T,98195,-90239,-7956,0,0
20230725T,86555,-77752,-8803,0,0
20230801T,83288,-79216,-4072,0,0
20230808T,89121,-83180,-5941,0,0
20230815T,90497,-80961,-9536,0,0
20230822T,104624,-95323,-9301,0,0
20230829T,103068,-98473,-4595,0,0
20230905T,105867,-97136,-8731,0,0
20230912T,106644,-98713,-7931,0,0
20230919T,111445,-101619,-9826,0,0
20230926T,120227,-109512,-10715,0,0
20231003T,117869,-113988,-3881,0,0
20231010T,106152,-99476,-6676,0,0
20231017T,112359,-102658,-9701,0,0
20231024T,104809,-99629,-5180,0,0
20231031T,107566,-103848,-3718,0,0
20231107T,111957,-104040,-7917,0,0
20231114T,133272,-130249,-3023,0,0
20231121T,105428,-105454,26,0,0
20231128T,103692,-109237,5545,0,0
20231205T,106218,-104956,-1262,0,0
20231212T,79527,-81131,1604,0,0
20240102T,55489,-57195,1706,0,0
20240109T,54191,-55949,1758,0,0
20240116T,61724,-56560,-5164,0,0
20240123T,76992,-70645,-6347,0,0
20240130T,80134,-80455,321,0,0
20240206T,82983,-84230,1247,0,0
20240213T,115172,-111536,-3636,0,0
